text,label
"I bought this charger last month. It works fine and charges my phone quickly, but the cable feels a bit thin. Shipping was on time.",0
"The book arrived in good condition. Some chapters were slow, but overall I learned a lot and would recommend it to beginners.",0
"Nice quality pan for the price. It heats evenly, though the handle gets warm after a while. Still happy with the purchase.",0
"These earbuds are okay. Sound is decent, but the bass is not strong and the fit is a little loose.",0
"I like the design and the size. The battery lasts about two days for me. Instructions could be clearer.",0
"Good value for a basic blender. It struggles with frozen fruit, but for smoothies it works well.",0
"AMAZING QUALITY!!! Best purchase ever, highly recommend! Buy now and thank me later!!!",1
"This is the PERFECT item. Five star product, top-notch build, and FREE SHIPPING. Don't miss this deal!",1
"Incredible results, truly the best! I was blown away!!! BUY NOW and get yours today!",1
"Absolutely fantastic, premium quality and guaranteed satisfaction. Worth every penny!!!",1
"Ultimate choice for anyone. Limited time special offer, act fast and grab this now!",1
"Unbeatable price and top rated by everyone. Add to cart now!!!",1
